entity_id,entity_name,entity_type,jurisdiction,incorporation_date,parent_entity_id,ownership_pct,registered_address,board_members,board_mandate_expiry,annual_filing_due,annual_filing_status,registered_agent,status,asset_class,asset_description
FGI-027,FGI Rio de Janeiro Hotel III Ltda,Ltda,Brazil,2018-11-29,FGI-025,100.0,"Alameda Sousa, 43, São Paulo","Magnus Fjellström, Dylan Miller, Danny Morgan, Lisa Hensley, Ryan Munoz",2027-10-11,2026-11-13,Pending,Carvalho Corporate Services Ltda,Active,Real Estate,"Office portfolio, Rio de Janeiro"
FGI-028,FGI Dover Residential IV LLC,LLC,USA (Delaware),2019-08-29,FGI-025,100.0,"89083 Robinson Radial, Wilmington","Eric Carney, Stephanie Ross",2026-11-30,2027-01-03,Pending,Ramirez Trust LLC,Dissolved,Real Estate,"Hotel portfolio, Wilmington"
FGI-029,FGI Solar Wind Holdings LLC,LLC,USA (Delaware),2024-08-10,FGI-025,100.0,"65423 Garcia Light, Dover","Brittany Farmer, Crystal Robinson, John Pierce, Richard Aguirre, Tricia Valencia",2028-03-15,2027-02-13,Filed,Davis Fiduciaire LLC,Active,Renewable Energy,250MW battery storage site
FGI-030,FGI Aurora Solar Holdings Ltda,Ltda,Brazil,2012-07-27,FGI-025,100.0,"Viela Sousa, 719, Rio de Janeiro","Philip Cannon, Lisa Jackson",2027-10-17,2026-04-24,Overdue,Andrade Trust Ltda,Active,Renewable Energy,100MW solar park
FGI-031,FGI Montreal Logistics IV Inc.,Inc.,Canada,2021-02-11,FGI-027,100.0,"89083 Robinson Radial, Toronto","Magnus Fjellström, Matthew Foster, Richard Aguirre, Eric Carney, Cassandra Gaines",2027-04-05,2027-01-15,Filed,Ramirez Corporate Services Inc.,Active,Real Estate,"Office portfolio, Vancouver"
FGI-032,FGI Rio de Janeiro Residential IV Ltda,Ltda,Brazil,2009-02-18,FGI-025,100.0,"Favela da Conceição, Rio de Janeiro","Mark Perez, Anthony Rodriguez, Brent Jordan",2027-07-22,2026-11-07,Filed,Montenegro Trust Ltda,Active,Real Estate,"Retail portfolio, Rio de Janeiro"
FGI-033,FGI Noveria Tactical Holdings Corp.,Corp.,Noveria,2017-11-02,FGI-025,100.0,"Port Hanshan Plaza, Noveria","Margaret Hawkins DDS, Patty Perez, Joshua Blair, Timothy Duncan, Matthew Foster",2026-11-04,2027-02-12,Filed,Pastor Management Ltda,Active,Renewable Energy,200MW solar park
FGI-034,FGI Toronto Retail IV Inc.,Inc.,Canada,2010-11-02,FGI-025,100.0,"65423 Garcia Light, Montreal","Brian Ramirez, Gabrielle Davis, Rebecca Henderson",2026-06-02,2026-07-11,Pending,Davis Treuhand Inc.,In liquidation,Real Estate,"Office portfolio, Toronto"
FGI-035,FGI Fjord Solar Holdings LLC,LLC,USA (Delaware),2013-11-21,FGI-025,100.0,"407 Teresa Lane Apt. 849, Wilmington","Sherri Baker, Anthony Humphrey, Brent Jordan, Matthew Foster",2026-10-16,2026-08-18,Pending,Mcclure Fiduciaire LLC,Dissolved,Renewable Energy,50MW battery storage site
FGI-036,FGI Asia Pacific Holdings Pte. Ltd.,Pte. Ltd.,Singapore,2017-04-09,FGI-001,100.0,"43321 Brittany Bypass, Singapore","Connie Lawrence, Matthew Foster",2027-02-10,2026-12-12,Pending,Johnson Corporate Services Pte. Ltd.,Active,Holding,Intermediate holding company
FGI-037,FGI Yokohama Retail II K.K.,K.K.,Japan,2024-06-28,FGI-036,100.0,"433 石川 Street, Osaka","Magnus Fjellström, Tricia Valencia, Fred Smith",2026-06-13,2025-12-29,Overdue,林 Management K.K.,Active,Real Estate,"Hotel portfolio, Osaka"
FGI-038,FGI Singapore Hotel III Pte. Ltd.,Pte. Ltd.,Singapore,2012-05-14,FGI-036,100.0,"89083 Robinson Radial, Singapore","Stephanie Ross, Crystal Robinson, John Pierce, Cassandra Gaines, Derek Zuniga",2028-02-27,2027-03-15,Filed,Ramirez Management Pte. Ltd.,Active,Holding,Intermediate holding company
FGI-039,FGI Atlas Grid Holdings K.K.,K.K.,Japan,2010-12-11,FGI-036,100.0,"133 木村 Street, Tokyo","Michele Williams, Ethan Adams, Danny Morgan, Holly Wood, Patty Perez",2026-07-29,2027-01-01,Pending,伊藤 Management K.K.,Active,Renewable Energy,400MW solar park
FGI-040,FGI Meadow Storage Holdings Pty Ltd,Pty Ltd,Australia,2020-08-03,FGI-036,100.0,"433 Jill Strip, Melbourne","Connie Lawrence, Lisa Jackson",2028-04-08,2026-10-22,Pending,Yang Trust Pty Ltd,Active,Renewable Energy,300MW hydro plant
FGI-041,FGI Fjord Storage Holdings Co. Ltd,Co. Ltd,South Korea,2027-03-15,FGI-036,100.0,"서울특별시 송파구 언주2로 605-55, Busan","Dylan Miller, Gina Moore, John Pierce, Lisa Hensley",2027-04-05,2027-03-29,Unknown,김 Management Co. Ltd,Active,Renewable Energy,200MW solar park
FGI-042,FGI Atlas Hydro Holdings Pte. Ltd.,Pte. Ltd.,Singapore,2024-06-24,FGI-036,100.0,"65423 Garcia Light, Singapore","Tommy Walter, Jamie Arnold, Carla Gray",2028-01-03,2027-03-16,Pending,Davis Corporate Services Pte. Ltd.,Active,Renewable Energy,50MW onshore wind farm
FGI-043,FGI Tokyo Hotel VIII K.K.,K.K.,Japan,2010-03-23,FGI-036,100.0,"265 高橋 Street, Osaka","Magnus Fjellström, Daniel Wagner, Holly Wood, Michael Lewis",2027-12-10,2026-06-27,Filed,鈴木 Fiduciaire K.K.,Active,Real Estate,"Residential portfolio, Osaka"
FGI-044,FGI Northern Solar Holdings Pte. Ltd.,Pte. Ltd.,Singapore,2017-12-27,FGI-036,100.0,"407 Teresa Lane Apt. 849, Singapore","Eric Carney, Nathan Maldonado, Matthew Foster",2027-03-09,2026-01-17,Overdue,Mcclure Fiduciaire Pte. Ltd.,Active,Renewable Energy,100MW offshore wind farm
FGI-045,FGI Seoul Mixed-Use II Co. Ltd,Co. Ltd,South Korea,2022-03-15,FGI-036,100.0,"인천광역시 성북구 잠실길 지하430, Seoul","Jeffrey Chavez, Cristian Santos, Monica Herrera",2028-02-01,2026-10-05,Unknown,김 Corporate Services Co. Ltd,Active,Real Estate,"Logistics portfolio, Seoul"
FGI-046,FGI Treasury & Financing S.à r.l.,S.à r.l.,Luxembourg,2015-09-30,FGI-001,100.0,"1, chemin de Moulin, Luxembourg City","Debra Davidson, Gina Moore, John Daniel, Matthew Foster, Connie Lawrence",2028-01-10,2026-12-14,Filed,Hubert Corporate Advisory S.à r.l.,Active,Treasury,Group treasury / financing vehicle
FGI-047,FGI Madrid Retail V S.L.,S.L.,Spain,2024-06-18,FGI-046,100.0,"Plaza Ciro Gil 18 Puerta 3 , Barcelona","Magnus Fjellström, Stephanie Ross, Gina Moore, Debra Davidson",2026-07-13,2027-02-08,Pending,Rivas Trust S.L.,Active,Holding,Intermediate holding company
FGI-048,FGI Highland Hydro Holdings AB,AB,Sweden,2014-12-17,FGI-046,100.0,"Järnvägsgatan 338, Gothenburg","Angelica Tucker, Judy Baker, Derek Zuniga, Tricia Valencia",2027-02-21,2027-04-08,Pending,Lindgren Corporate Advisory AB,Active,Treasury,Group treasury / financing vehicle
FGI-049,FGI Leeds Retail V Ltd,Ltd,United Kingdom,2010-10-21,FGI-046,51.0,"386 Lucy Radial, Leeds","Joshua Blair, Anthony Humphrey",2026-06-28,2026-10-16,Filed,White Governance Partners Ltd,Dormant,Holding,Intermediate holding company
FGI-050,FGI Aurora Solar Holdings GmbH,GmbH,Germany,2012-12-06,FGI-099X,100.0,"Holstenplatz 7511, Berlin","Ethan Adams, Justin Baker, Patty Perez, Margaret Hawkins DDS, Sherry Decker",2028-02-11,2027-01-30,Unknown,Dietz Corporate Services GmbH,Active,Treasury,Group treasury / financing vehicle
FGI-051,FGI Rio de Janeiro Mixed-Use I Ltda,Ltda,Brazil,2018-03-27,FGI-046,100.0,"Esplanada Sampaio, 55, Rio de Janeiro","Sherry Decker, Michael Lewis",2027-01-15,2026-11-29,Filed,Cassiano Corporate Advisory Ltda,Active,Holding,Intermediate holding company
FGI-052,,Ltd,United Kingdom,2010-03-21,FGI-046,100.0,"6 White Forge, Manchester","Timothy Duncan, Angelica Tucker, James Ferrell, Gina Moore, Noah Rhodes",2027-01-30,2026-10-03,Pending,Andrews Treuhand Ltd,Active,Holding,Intermediate holding company
FGI-053,FGI Meadow Wind Holdings AG,AG,Switzerland,2024-12-02,FGI-051,100.0,"Schnyderstrasse 1, Zug","Magnus Fjellström, James Ferrell, John Daniel, Philip Cannon",2027-08-17,2026-08-18,Filed,Bolliger Management AG,In liquidation,Treasury,Group treasury / financing vehicle
FGI-054,FGI Dublin Residential III Ltd,Ltd,Ireland,2018-04-27,FGI-046,50.0,"15 Kerr Street, Dublin","Derek Zuniga, Eric Carney",2027-10-04,2027-04-23,Filed,O'Farrelly Governance Partners Ltd,Active,Holding,Intermediate holding company
FGI-055,FGI Valencia Retail VIII S.L.,S.L.,Spain,2020-05-22,FGI-046,100.0,"Camino de Leopoldo Agudo 66, Barcelona","Anthony Rodriguez, John Daniel, Margaret Hawkins DDS, Michael Lewis, Lisa Hensley",2027-11-04,2026-01-28,Overdue,Lobo Treuhand S.L.,Active,Holding,Intermediate holding company
FGI-056,FGI Fjord Storage Holdings AB,AB,Sweden,2014-03-29,FGI-002,100.0,"Idrottsvägen 4, Gothenburg","Gabrielle Davis, Tricia Valencia",2027-06-01,2027-01-02,Pending,Persson Corporate Advisory AB,Dissolved,Renewable Energy,400MW onshore wind farm
FGI-057,FGI Wilmington Residential III LLC,LLC,USA (Delaware),2018-11-16,FGI-002,100.0,"310 Kendra Common Apt. 164, Dover","Shannon Jones, Patty Perez",2027-04-13,2026-11-03,Filed,Chavez Governance Partners LLC,Active,Holding,Intermediate holding company
FGI-058,FGI São Paulo Mixed-Use II Ltda,Ltda,Brazil,2023-01-22,FGI-002,100.0,"Colônia Francisco Garcia, 6, Rio de Janeiro","Joshua Blair, Paula Moreno",2026-12-20,2026-11-15,Filed,Ferreira Treuhand Ltda,Active,Holding,Intermediate holding company
FGI-059,FGI Fjord Wind Holdings S.L.,S.L.,Spain,2024-07-26,FGI-002,100.0,"Alameda Cristian Bru 61, Valencia","Monica Herrera, Jamie Arnold, Connie Lawrence",2027-07-17,2026-12-29,Filed,Núñez Corporate Advisory S.L.,Active,Renewable Energy,250MW hydro plant
FGI-060,FGI Solar Storage Holdings Ltda,Ltda,Brazil,2014-05-27,FGI-002,100.0,"Área Maria Clara Nascimento, 7, Rio de Janeiro","Cristian Santos, Zachary Hicks, Ethan Adams",2027-01-18,2027-02-11,Pending,Barros Corporate Advisory Ltda,Active,Renewable Energy,400MW hydro plant
FGI-061,FGI Aurora Solar Holdings S.à r.l.,S.à r.l.,Luxembourg,2018-07-08,FGI-002,100.0,"9, boulevard Briand, Esch-sur-Alzette","Noah Rhodes, Mark Perez, Sherry Decker, Judy Baker",2026-08-19,2027-02-23,Unknown,David Management S.à r.l.,Active,Renewable Energy,250MW solar park
FGI-062,FGI Atlas Hydro Holdings B.V.,B.V.,Netherlands,2024-05-20,FGI-002,50.0,"Juliaweg 863, Utrecht","Paula Moreno, Abigail Shaffer, Richard Aguirre",2028-01-13,2026-03-25,Overdue,van Haeften Treuhand B.V.,Active,Renewable Energy,100MW onshore wind farm
FGI-063,FGI Berlin Retail VI GmbH,GmbH,Germany,2018-11-21,FGI-058,100.0,"Schleichring 7, Munich","Holly Wood, Brent Jordan, Crystal Robinson",2026-11-23,2026-09-18,Pending,Reising Fiduciaire GmbH,Active,Real Estate,"Mixed-Use portfolio, Munich"
FGI-064,FGI Coastal Solar Holdings S.à r.l.,S.à r.l.,Luxembourg,2016-08-06,FGI-002,100.0,"rue Rey, Esch-sur-Alzette","Jessica Holmes, Judy Baker",2028-03-24,2026-10-14,Pending,Bodin Corporate Services S.à r.l.,Active,Renewable Energy,200MW battery storage site
FGI-065,FGI Aurora Grid Holdings ApS,ApS,Denmark,2019-03-15,FGI-002,100.0,"Bredelandsvej 69, Aarhus","Fred Smith, Cristian Santos, Paula Moreno",2026-08-20,2026-12-28,Filed,Ravn Governance Partners ApS,Active,Renewable Energy,200MW offshore wind farm
FGI-066,FGI Tokyo Office V K.K.,K.K.,Japan,2015-10-12,FGI-002,100.0,"559 岡田 Street, Yokohama","Matthew Foster, Anthony Rodriguez, Tommy Walter",2026-08-09,2026-08-19,Unknown,松本 Treuhand K.K.,Active,Holding,Intermediate holding company
FGI-067,FGI Atlas Grid Holdings Pte. Ltd.,Pte. Ltd.,Singapore,2025-04-19,FGI-062,100.0,"310 Kendra Common Apt. 164, Singapore","Shannon Jones, Tommy Walter, Abigail Shaffer",2026-06-04,2026-11-11,Filed,Chavez Treuhand Pte. Ltd.,Active,Renewable Energy,100MW hydro plant
FGI-068,FGI Solar Wind Holdings Inc.,Inc.,Canada,2023-06-19,FGI-002,100.0,"407 Teresa Lane Apt. 849, Toronto","Jessica Holmes, Patty Perez",2026-08-03,2027-02-08,Unknown,Mcclure Trust Inc.,Active,Renewable Energy,300MW battery storage site
FGI-069,FGI Solar Solar Holdings Ltd,Ltd,United Kingdom,2013-08-09,FGI-068,100.0,"Flat 1, Glover Vista, London","Danny Morgan, Jamie Arnold, Gina Moore, Sherry Decker",2028-01-02,2026-09-04,Filed,Ward Governance Partners Ltd,Active,Renewable Energy,400MW onshore wind farm
FGI-070,FGI Utrecht Office III B.V.,B.V.,Netherlands,2017-01-13,FGI-002,100.0,"Lindedreef 654, The Hague","Tricia Valencia, Cassandra Gaines, Abigail Shaffer, Zachary Hicks",2027-07-07,2026-08-24,Filed,Ketting Corporate Advisory B.V.,Active,Real Estate,"Residential portfolio, Amsterdam"
FGI-071,FGI Malmö Mixed-Use V AB,AB,Sweden,2009-12-22,FGI-002,60.0,"Stationsvägen 42, Gothenburg","Anthony Humphrey, Abigail Shaffer, James Ferrell, Philip Cannon, Brent Jordan",2026-07-03,2026-07-06,Filed,Engdahl Fiduciaire AB,Dissolved,Holding,Intermediate holding company
FGI-072,FGI Lyon Mixed-Use VI S.A.,S.A.,France,2016-03-23,FGI-002,100.0,"9, boulevard Humbert, Marseille","Abigail Shaffer, Jessica Holmes, Angelica Tucker, Gina Moore, Shannon Jones",2027-10-27,2027-04-22,Filed,Vasseur Treuhand S.A.,Active,Holding,Intermediate holding company
FGI-073,FGI Meadow Storage Holdings AG,AG,Switzerland,2014-02-15,FGI-002,100.0,"Ottstrasse 738, Zurich","Cristian Santos, Connie Lawrence, Mark Perez, Stephanie Ross, Abigail Shaffer",2027-07-13,2026-11-28,Pending,Gerber Treuhand AG,Active,Renewable Energy,150MW solar park
FGI-074,FGI Coastal Storage Holdings Inc.,Inc.,Canada,2021-06-24,FGI-073,100.0,"310 Kendra Common Apt. 164, Vancouver","Abigail Shaffer, Sherri Baker, Tricia Valencia, Michele Williams",2028-05-09,2027-01-23,Filed,Chavez Trust Inc.,Active,Renewable Energy,150MW battery storage site
FGI-075,FGI Sydney Retail IV Pty Ltd,Pty Ltd,Australia,2011-06-06,FGI-002,100.0,"6 Anthony Driveway, Sydney","Noah Rhodes, Jamie Arnold, Derek Zuniga, Angelica Tucker",2028-01-28,2025-12-30,Overdue,Hall Governance Partners Pty Ltd,Active,Real Estate,"Mixed-Use portfolio, Brisbane"
FGI-076,FGI Esch-sur-Alzette Office III S.à r.l.,S.à r.l.,Luxembourg,2016-11-15,FGI-060,100.0,"9, boulevard Humbert, Luxembourg City","Justin Baker, Anthony Rodriguez, Patty Perez, Monica Herrera, Tommy Walter",2026-08-03,2026-07-06,Pending,Vasseur Management S.à r.l.,Active,Holding,Intermediate holding company
FGI-077,FGI Highland Solar Holdings LLC,LLC,USA (Delaware),2021-09-24,FGI-002,51.0,"55341 Amanda Gardens Apt. 764, Dover","Justin Baker, Derek Zuniga, Michele Williams, Joshua Blair, Tricia Valencia",2028-03-22,2026-07-16,Pending,Mayo Corporate Services LLC,Active,Renewable Energy,200MW hydro plant
FGI-078,FGI Aurora Wind Holdings Inc.,Inc.,Canada,2015-05-10,FGI-002,100.0,"55341 Amanda Gardens Apt. 764, Toronto","Lisa Jackson, Margaret Hawkins DDS, Gina Moore, Allison Hill",2026-06-27,2027-04-23,Filed,Mayo Fiduciaire Inc.,Active,Renewable Energy,150MW onshore wind farm
FGI-079,FGI Singapore Office VII Pte. Ltd.,Pte. Ltd.,Singapore,2017-07-12,FGI-002,100.0,"55341 Amanda Gardens Apt. 764, Singapore","Philip Cannon, Paula Moreno, Justin Baker, Lisa Jackson, Gina Moore",2027-07-22,2026-05-12,Overdue,Mayo Fiduciaire Pte. Ltd.,Active,Real Estate,"Retail portfolio, Singapore"
FGI-080,FGI Utrecht Office VII B.V.,B.V.,Netherlands,2012-11-08,FGI-002,100.0,"Emirboulevard 1, Amsterdam","Michael Lewis, Carla Gray, Shane Henderson, Patty Perez, Dylan Miller",2027-07-22,2026-03-21,Overdue,Wolffel Management B.V.,Active,Holding,Intermediate holding company
FGI-081,FGI Cork Retail III Ltd,Ltd,Ireland,2023-03-16,FGI-072,100.0,"18 McDermod Street, Dublin","Eric Carney, Paula Moreno, James Ferrell",2027-01-19,2026-09-03,Filed,Connole Fiduciaire Ltd,Active,Real Estate,"Hotel portfolio, Dublin"
FGI-082,FGI Fjord Hydro Holdings K.K.,K.K.,Japan,2021-08-30,FGI-002,50.0,"849 木村 Street, Yokohama","Ethan Adams, Tricia Valencia",2027-08-25,2026-07-25,Filed,佐藤 Corporate Services K.K.,Active,Renewable Energy,150MW solar park
FGI-083,FGI Coastal Grid Holdings S.à r.l.,S.à r.l.,Luxembourg,2009-11-05,FGI-082,100.0,"340, avenue de Leblanc, Esch-sur-Alzette","Margaret Hawkins DDS, Elizabeth Fowler, Rebecca Henderson",2027-08-18,2027-01-03,Pending,Lopes Corporate Advisory S.à r.l.,Active,Renewable Energy,400MW offshore wind farm
FGI-084,FGI Leeds Office III Ltd,Ltd,United Kingdom,2019-02-08,FGI-082,100.0,"Flat 7, Gemma Common, Leeds","Tommy Walter, Brent Jordan, Lisa Jackson",2027-07-25,2027-01-31,Filed,Fisher Fiduciaire Ltd,Active,Holding,Intermediate holding company
FGI-085,FGI Fjord Wind Holdings Pte. Ltd.,Pte. Ltd.,Singapore,2024-03-24,FGI-002,100.0,"503 Linda Locks, Singapore","Connie Lawrence, Cassandra Gaines, Sherry Decker, Ryan Munoz",2028-03-26,2027-04-02,Filed,Adams Management Pte. Ltd.,Active,Renewable Energy,150MW battery storage site
FGI-086,FGI Luxembourg City Retail VII S.à r.l.,S.à r.l.,Luxembourg,2024-08-31,FGI-002,100.0,"25, avenue Pereira, Luxembourg City","Tricia Valencia, Tommy Walter, Noah Rhodes, Carla Gray, Jamie Arnold",2026-09-09,2026-12-06,Pending,Pelletier Trust S.à r.l.,Active,Holding,Intermediate holding company
FGI-087,FGI Wilmington Office V LLC,LLC,USA (Delaware),2019-11-28,FGI-002,50.0,"503 Linda Locks, Wilmington","Timothy Duncan, Eric Carney, Brittany Farmer, Gabrielle Davis",2027-10-03,2026-04-27,Overdue,Adams Corporate Advisory LLC,Active,Holding,Intermediate holding company
FGI-088,FGI São Paulo Hotel VIII Ltda,Ltda,Brazil,2013-01-21,FGI-002,100.0,"Vereda Eloá Oliveira, 11, Rio de Janeiro","Dylan Miller, Debra Davidson, Brian Ramirez, Carla Gray, Danny Morgan",2028-03-24,2026-12-24,Filed,Ribeiro Governance Partners Ltda,Active,Real Estate,"Mixed-Use portfolio, Rio de Janeiro"
